"","YearStart","LocationAbbr","StratificationCategory1","Stratification1","Soda","Obesity","Overweight","DailyPE","WatchTV","Veg","Fruit","Exercise"
"3569",2011,"CT","Gender","Male",NA,16.5,16.5,NA,27.5,38.6,34.2,34.8
"3570",2011,"AR","Grade","9th",32.8,14.1,18,41.6,33.1,43.2,48.2,NA
"3571",2011,"NE","Grade","11th",27.9,12.3,13.6,29.9,23,33,41.4,26.8
"3572",2009,"NC","Race/Ethnicity","Hispanic",24.7,12.6,15,NA,37.3,46.7,32.1,20.8
"3573",2015,"PR","Grade","11th",32.8,11.5,11.6,NA,29.2,58.2,41.5,18.7
"3574",2003,"NC","Gender","Male",NA,16.6,14.8,36.5,NA,40.3,41.1,NA
"3575",2011,"IA","Gender","Female",21.2,10.1,14.5,20.9,22.5,37,37.6,19.9
"3576",2015,"NV","Grade","10th",15,12.5,15.9,30,21.9,41.4,36.3,27.6
"3577",2003,"MI","Race/Ethnicity","Non-Hispanic Black",NA,17.2,20.8,23.9,61.4,56.2,51.8,NA
"3578",2011,"MA","Grade","11th",19.4,10.3,14.2,15.3,29.7,NA,NA,NA
"3579",2015,"CA","Grade","10th",15.1,14.3,13.3,45.8,19.5,35.9,32.1,27.6
"3580",2015,"AZ","Gender","Female",16.3,7,14.2,21.5,26.2,40,40.6,19.3
"3581",2009,"CT","Race/Ethnicity","Non-Hispanic Black",NA,12.4,16.6,NA,54.1,53.2,36.5,20
"3582",2015,"AR","Total","Total",29.3,18,18,28.6,31,45.5,47.9,28.6
"3583",2005,"ID","Total","Total",NA,7.2,13.7,28.8,21.7,33.3,39.1,NA
"3584",2003,"KY","Total","Total",NA,14.5,15.2,23.8,30.8,44.4,54,NA
"3585",2001,"ND","Grade","9th",NA,8.2,12.8,48.3,36.3,37.8,34.7,NA
"3586",2003,"GA","Total","Total",NA,11,14.9,29.1,42.4,40.8,45,NA
"3587",2013,"FL","Race/Ethnicity","Hispanic",20.6,11.7,16,20.3,30.8,48.1,37.7,21.3
